Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN NUMBER,Industry,Instrument
505790,,SCHAEFFLER,Schaeffler India Ltd,Active,A ,10.0,INE513A01014,Industrial Machinery,Equity
505800,,RANEHOLDIN,RANE HOLDINGS LTD.,Active,B ,10.0,INE384A01010,Auto Parts & Equipment,Equity
505854,,TRF,TRF LTD.-$,Active,B ,10.0,INE391D01019,Industrial Machinery,Equity
505890,,KENNAMET,KENNAMETAL INDIA LTD.-$,Active,B ,10.0,INE717A01029,Industrial Machinery,Equity
506022,,PRAKASH,PRAKASH INDUSTRIES LTD.,Active,B ,10.0,INE603A01013,Iron & Steel/Interm.Products,Equity
506074,,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Transportation - Logistics,Equity
506076,,GRINDWELL,GRINDWELL NORTON LTD.-$,Active,A ,5.0,INE536A01023,Other Industrial Products,Equity
506079,,LAKPRE,LAKSHMI PRECISION SCREWS LTD.,Active,Z ,10.0,INE651C01018,Iron & Steel Products,Equity
506109,,GENESYS,GENESYS INTERNATIONAL CORPORATION LTD.,Active,T ,5.0,INE727B01026,IT Software Products,Equity
506146,,VIVIDHA,VISAGAR POLYTEX LTD.,Active,T ,1.0,INE370E01029,Textiles,Equity
506184,,KANANIIND,KANANI INDUSTRIES LTD.,Active,B ,1.0,INE879E01037,Other Apparels & Accessories,Equity
506194,,ASL,Arihant Superstructures Limited,Active,B ,10.0,INE643K01018,Realty,Equity
506197,,BLISSGVS,BLISS GVS PHARMA LTD.,Active,A ,1.0,INE416D01022,Pharmaceuticals,Equity
506222,,INEOSSTYRO,INEOS Styrolution India Ltd,Active,B ,10.0,INE189B01011,Specialty Chemicals,Equity
506235,,ALEMBICLTD,ALEMBIC LTD.,Active,B ,2.0,INE426A01027,Pharmaceuticals,Equity
506285,,BAYERCROP,BAYER CROPSCIENCE LTD.,Active,A ,10.0,INE462A01022,Agrochemicals,Equity
506390,,CLNINDIA,CLARIANT CHEMICALS (INDIA) LTD.,Active,B ,10.0,INE492A01029,Specialty Chemicals,Equity
506395,,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,Active,A ,1.0,INE169A01031,Fertilizers,Equity
506401,,DEEPAKNI,DEEPAK NITRITE LTD.-$,Active,A ,2.0,INE288B01029,Commodity Chemicals,Equity
506480,,GOCLCORP,GOCL Corporation Ltd-$,Active,B ,2.0,INE077F01035,Oil Marketing & Distribution,Equity
506525,,KANORICHEM,KANORIA CHEMICALS & INDUSTRIES LTD.,Active,B ,5.0,INE138C01024,Commodity Chemicals,Equity
506579,,ORIENTCQ,ORIENTAL CARBON & CHEMICALS LTD.-$,Active,B ,10.0,INE321D01016,Commodity Chemicals,Equity
506590,,PHILIPCARB,PHILLIPS CARBON BLACK LTD.,Active,A ,2.0,INE602A01023,Carbon Black,Equity
506618,,PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$,Active,B ,10.0,INE277B01014,Agrochemicals,Equity
506655,,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LTD.,Active,A ,2.0,INE659A01023,Specialty Chemicals,Equity
506690,,UNICHEMLAB,UNICHEM LABORATORIES LTD.,Active,B ,2.0,INE351A01035,Pharmaceuticals,Equity
506767,,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,Active,B ,5.0,INE150B01021,Specialty Chemicals,Equity
506820,,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.,Active,A ,2.0,INE203A01020,Pharmaceuticals,Equity
506943,,JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.,Active,A ,2.0,INE572A01028,Pharmaceuticals,Equity
507205,,TI,TILAKNAGAR INDUSTRIES LTD.-$,Active,B ,10.0,INE133E01013,Breweries & Distilleries,Equity
507315,,SAKHTISUG,SAKTHI SUGARS LTD.,Active,B ,10.0,INE623A01011,Sugar,Equity
507410,,WALCHANNAG,WALCHANDNAGAR INDUSTRIES LTD.,Active,B ,2.0,INE711A01022,Diversified,Equity
507438,,IFBAGRO,IFB AGRO INDUSTRIES LTD.,Active,B ,10.0,INE076C01018,Breweries & Distilleries,Equity
507442,,DHARSUGAR,DHARANI SUGARS & CHEMICALS LTD.,Active,B ,10.0,INE988C01014,Sugar,Equity
507450,,THIRUSUGAR,THIRU AROORAN SUGARS LTD.,Active,Z ,10.0,INE409A01015,Sugar,Equity
507488,,GMBREW,G.M.BREWERIES LTD.,Active,B ,10.0,INE075D01018,Breweries & Distilleries,Equity
507490,,RANASUG,RANA SUGARS LTD.,Active,T ,10.0,INE625B01014,Sugar,Equity
507514,,SDBL,SOM DISTILLERIES & BREWERIES LTD.,Active,B ,10.0,INE480C01012,Breweries & Distilleries,Equity
507526,,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.,Active,B ,10.0,INE073G01016,Breweries & Distilleries,Equity
507580,,IVP,IVP LTD.,Active,B ,10.0,INE043C01018,Commodity Chemicals,Equity
507685,,WIPRO,WIPRO LTD.,Active,A ,2.0,INE075A01022,IT Consulting & Software,Equity
507717,,DHANUKA,DHANUKA AGRITECH LTD.,Active,B ,2.0,INE435G01025,Agrochemicals,Equity
507747,,TTKHEALTH,TTK HEALTHCARE LTD.-$,Active,B ,10.0,INE910C01018,Pharmaceuticals,Equity
507785,,TAINWALCHM,TAINWALA CHEMICALS & PLASTICS (INDIA) LTD.,Active,B ,10.0,INE123C01018,Plastic Products,Equity
507789,,JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LTD.,Active,B ,5.0,INE048B01027,Pharmaceuticals,Equity
507815,,GILLETTE,GILLETTE INDIA LTD.,Active,A ,10.0,INE322A01010,Personal Products,Equity
507828,,ANSALHSG,Ansal Housing Ltd-$,Active,B ,10.0,INE880B01015,Realty,Equity
507878,,UNITECH,UNITECH LTD.,Active,Z ,2.0,INE694A01020,Realty,Equity
507880,,VIPIND,V.I.P.INDUSTRIES LTD.-$,Active,A ,2.0,INE054A01027,Other Apparels & Accessories,Equity
508814,,COSMOFILMS,COSMO FILMS LTD.,Active,B ,10.0,INE757A01017,Containers & Packaging,Equity
508869,,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,Active,A ,5.0,INE437A01024,Healthcare Facilities,Equity
508906,,EVERESTIND,EVEREST INDUSTRIES LTD.,Active,B ,10.0,INE295A01018,Cement & Cement Products,Equity
508933,,AYMSYNTEX,AYM Syntex Ltd,Active,B ,10.0,INE193B01039,Textiles,Equity
508989,,NAVNETEDUL,Navneet Education Limited,Active,B ,2.0,INE060A01024,Publishing,Equity
509009,,AUSOMENT,AuSom Enterprise Limited,Active,B ,10.0,INE218C01016,Comm.Trading  & Distribution,Equity
509020,,RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,Active,T ,1.0,INE413B01023,Misc.Commercial Services,Equity
509055,,VISAKAIND,VISAKA INDUSTRIES LTD.,Active,B ,10.0,INE392A01013,Cement & Cement Products,Equity
509069,,INFOMEDIA,INFOMEDIA PRESS LTD.,Active,T ,10.0,INE669A01022,Publishing,Equity
509077,,PRESSMN,Pressman Advertising Limited,Active,B ,2.0,INE980A01023,Advertising & Media,Equity
509079,,GUFICBIO,GUFIC BIOSCIENCES LTD.,Active,B ,1.0,INE742B01025,Pharmaceuticals,Equity
509152,,GRPLTD,GRP LTD.,Active,B ,10.0,INE137I01015,Auto Tyres & Rubber Products,Equity
509220,,PTL,PTL ENTERPRISES LTD.-$,Active,B ,2.0,INE034D01031,Comm.Trading  & Distribution,Equity
509243,,TVSSRICHAK,TVS SRICHAKRA LTD.-$,Active,A ,10.0,INE421C01016,Auto Tyres & Rubber Products,Equity
509480,,BERGEPAINT,BERGER PAINTS INDIA LTD.,Active,A ,1.0,INE463A01038,Furniture-Furnishing-Paints,Equity
509488,,GRAPHITE,GRAPHITE INDIA LTD.,Active,A ,2.0,INE371A01025,Other Industrial Goods,Equity
509496,,ITDCEM,ITD CEMENTATION INDIA LTD.,Active,A ,1.0,INE686A01026,Construction & Engineering,Equity
509557,,GARFIBRES,Garware Technical Fibres Ltd,Active,A ,10.0,INE276A01018,Textiles,Equity
509567,,GOACARBON,GOA CARBON LTD.-$,Active,B ,10.0,INE426D01013,Refineries/ Petro-Products,Equity
509631,,HEG,HEG LTD.,Active,A ,10.0,INE545A01016,Other Industrial Goods,Equity
509635,,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,Active,B ,5.0,INE310C01029,Auto Parts & Equipment,Equity
509675,,HIL,HIL LTD.,Active,B ,10.0,INE557A01011,Cement & Cement Products,Equity
509692,,INDIANCARD,INDIAN CARD CLOTHING CO.LTD.,Active,B ,10.0,INE061A01014,Textiles,Equity
509715,,JAYSHREETEA,JAY SHREE TEA & INDUSTRIES LTD.,Active,B ,5.0,INE364A01020,Tea & Coffee,Equity
509820,,PAPERPROD,Huhtamaki PPL Limited,Active,B ,2.0,INE275B01026,Containers & Packaging,Equity
509874,,SHALPAINTS,SHALIMAR PAINTS LTD.-$,Active,B ,2.0,INE849C01026,Furniture-Furnishing-Paints,Equity
509930,,SUPREMEIND,SUPREME INDUSTRIES LTD.,Active,A ,2.0,INE195A01028,Plastic Products,Equity
509966,,VSTIND,VST INDUSTRIES LTD.,Active,A ,10.0,INE710A01016,Cigarettes-Tobacco Products,Equity
511034,,JINDRILL,JINDAL DRILLING & INDUSTRIES LTD.,Active,B ,5.0,INE742C01031,Exploration & Production,Equity
511072,,DHFL,DEWAN HOUSING FINANCE CORPORATION LTD.,Active,A ,10.0,INE202B01012,Housing Finance ,Equity
511108,,SHIVTEX,SHIVA TEXYARN LTD.,Active,B ,10.0,INE705C01020,Textiles,Equity
511196,,CANFINHOME,CAN FIN HOMES LTD.,Active,A ,2.0,INE477A01020,Housing Finance ,Equity
511208,,IVC,IL&FS INVESTMENT MANAGERS LTD.,Active,T ,2.0,INE050B01023,Asset Management Cos.,Equity
511218,,SRTRANSFIN,SHRIRAM TRANSPORT FINANCE CO.LTD.,Active,A ,10.0,INE721A01013,Finance (including NBFCs),Equity
511243,,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,Active,A ,2.0,INE121A01024,Finance (including NBFCs),Equity
511333,,VLSFINANCE,VLS FINANCE LTD.,Active,B ,10.0,INE709A01018,Other Financial Services,Equity
511389,,VIDEOIND,VIDEOCON INDUSTRIES LTD.,Active,Z ,10.0,INE703A01011,Consumer Electronics,Equity
511413,,CREST,CREST VENTURES LIMITED,Active,B ,10.0,INE559D01011,Finance (including NBFCs),Equity
511431,,VAKRANGEE,Vakrangee Limited-$,Active,A ,1.0,INE051B01021,Specialty Retail,Equity
511473,,INDBANK,INDBANK MERCHANT BANKING SERVICES LTD.,Active,B ,10.0,INE841B01017,Other Financial Services,Equity
511505,,CAPITALT,CAPITAL TRUST LTD.,Active,B ,10.0,INE707C01018,Finance (including NBFCs),Equity
511559,,TIMESGTY,TIMES GUARANTY LTD.,Active,B ,10.0,INE289C01025,Finance (including NBFCs),Equity
511611,,DCMFINSERV,DCM FINANCIAL SERVICES LTD.,Active,T ,10.0,INE891B01012,Finance (including NBFCs),Equity
511618,,JIKIND,JIK INDUSTRIES LTD.,Active,T ,10.0,INE026B01049,Comm.Trading  & Distribution,Equity
511630,,SAMBHAAV,SAMBHAAV MEDIA LTD.,Active,B ,1.0,INE699B01027,Publishing,Equity
511676,,GICHSGFIN,GIC HOUSING FINANCE LTD.,Active,A ,10.0,INE289B01019,Housing Finance ,Equity
511726,,VIPUL,VIPUL LTD.,Active,B ,1.0,INE946H01037,Realty,Equity
511766,,MUTHTFN,MUTHOOT CAPITAL SERVICES LTD.,Active,B ,10.0,INE296G01013,Finance (including NBFCs),Equity
512070,,UPL,UPL Limited,Active,A ,2.0,INE628A01036,Agrochemicals,Equity
512131,,SIGNETIND,Signet Industries Limited,Active,B ,10.0,INE529F01035,Plastic Products,Equity
512161,,8KMILES,8K MILES SOFTWARE SERVICES LTD.,Active,T ,5.0,INE650K01021,Internet Software & Services,Equity
512179,,SUNTECK,SUNTECK REALTY LTD.,Active,A ,1.0,INE805D01034,Realty,Equity
512237,,JAICORPLTD,JAI CORP LTD.,Active,A ,1.0,INE070D01027,Plastic Products,Equity
512289,,SHIRPUR-G,SHIRPUR GOLD REFINERY LTD.,Active,B ,10.0,INE196B01016,Other Non-Ferrous Metals,Equity
512296,,BHAGYNAGAR,BHAGYANAGAR INDIA LTD.,Active,B ,2.0,INE458B01036,Copper,Equity
512519,,DONEAR,DONEAR INDUSTRIES LTD.-$,Active,B ,2.0,INE668D01028,Textiles,Equity
512529,,SEQUENT,SEQUENT SCIENTIFIC LTD.,Active,B ,2.0,INE807F01027,Pharmaceuticals,Equity
512531,,STCINDIA,STATE TRADING CORPORATION OF INDIA LTD.,Active,B ,10.0,INE655A01013,Comm.Trading  & Distribution,Equity
512553,,ZENITHEXPO,ZENITH EXPORTS LTD.,Active,B ,10.0,INE058B01018,Textiles,Equity
512559,,KOHINOOR,KOHINOOR FOODS LTD.,Active,Z ,10.0,INE080B01012,Other Agricultural Products,Equity
512573,,AVANTI,AVANTI FEEDS LTD.-$,Active,A ,1.0,INE871C01038,Other Food Products,Equity
512587,,ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,Active,B ,10.0,INE077B01018,Other Apparels & Accessories,Equity
512597,,KEYFINSER,Keynote Financial Services Ltd,Active,B ,10.0,INE681C01015,Finance (including NBFCs),Equity
512599,,ADANIENT,ADANI ENTERPRISES LTD.,Active,A ,1.0,INE423A01024,Comm.Trading  & Distribution,Equity
512608,,BHANDHOS,BHANDARI HOSIERY EXPORTS LTD.,Active,B ,1.0,INE474E01029,Other Apparels & Accessories,Equity
512626,,ORBTEXP,ORBIT EXPORTS LTD.,Active,B ,10.0,INE231G01010,Textiles,Equity
513010,,TATASTLLP,Tata Steel Long Products Ltd,Active,B ,10.0,INE674A01014,Iron & Steel/Interm.Products,Equity
513023,,NBVENTURES,NAVA BHARAT VENTURES LTD.,Active,A ,2.0,INE725A01022,Electric Utilities,Equity
513108,,GANDHITUBE,GANDHI SPECIAL TUBES LTD.-$,Active,B ,5.0,INE524B01027,Iron & Steel Products,Equity
513121,,ORICON,ORICON ENTERPRISES LTD.-$,Active,B ,2.0,INE730A01022,Specialty Chemicals,Equity
513151,,STINDIA,STI INDIA LTD.,Active,T ,10.0,INE090C01019,Textiles,Equity
513179,,NATNLSTEEL,NATIONAL STEEL & AGRO INDUSTRIES LTD.,Active,T ,10.0,INE088B01015,Iron & Steel/Interm.Products,Equity
513216,,UTTAMSTL,UTTAM GALVA STEELS LTD.,Active,B ,10.0,INE699A01011,Iron & Steel/Interm.Products,Equity
513228,,PENIND,PENNAR INDUSTRIES LTD.-$,Active,B ,5.0,INE932A01024,Iron & Steel/Interm.Products,Equity
513250,,JYOTISTRUC,JYOTI STRUCTURES LTD.,Active,Z ,2.0,INE197A01024,Heavy Electrical Equipment,Equity
513262,,SSWL,STEEL STRIPS WHEELS LTD.-$,Active,B ,10.0,INE802C01017,Auto Parts & Equipment,Equity
513269,,MANINDS,MAN INDUSTRIES (INDIA) LTD.-$,Active,T ,5.0,INE993A01026,Construction & Engineering,Equity
513335,,METALFORGE,Metalyst Forgings Limited,Active,T ,10.0,INE425A01011,Other Industrial Products,Equity
513343,,GRANDFONRY,GRAND FOUNDRY LTD.,Active,B ,4.0,INE534A01028,Iron & Steel Products,Equity
513349,,AJMERA,AJMERA REALTY & INFRA INDIA LTD.,Active,B ,10.0,INE298G01027,Realty,Equity
513375,,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,Active,A ,1.0,INE120A01034,Other Industrial Products,Equity
513377,,MMTC,MMTC LTD.,Active,A ,1.0,INE123F01029,Comm.Trading  & Distribution,Equity
513414,,SMPL,Splendid Metal Products Ltd,Active,Z ,5.0,INE215G01021,Iron & Steel/Interm.Products,Equity
513434,,TATAMETALI,TATA METALIKS LTD.,Active,A ,10.0,INE056C01010,Iron & Steel/Interm.Products,Equity
513436,,SHAHALLOYS,SHAH ALLOYS LTD.,Active,B ,10.0,INE640C01011,Iron & Steel/Interm.Products,Equity
513446,,MONNETISPA,MONNET ISPAT & ENERGY LTD.,Active,B ,10.0,INE743C01021,Iron & Steel/Interm.Products,Equity
513509,,KALYANIFRG,KALYANI FORGE LTD.,Active,T ,10.0,INE314G01014,Auto Parts & Equipment,Equity
513519,,PITTIENG,Pitti Engineering Ltd-$,Active,B ,5.0,INE450D01021,Other Elect.Equip./ Prod.,Equity
513554,,MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LTD.,Active,B ,10.0,INE451L01014,Iron & Steel Products,Equity
513599,,HINDCOPPER,HINDUSTAN COPPER LTD.,Active,A ,5.0,INE531E01026,Copper,Equity
513605,,SRIPIPES,Srikalahasthi Pipes Limited,Active,B ,10.0,INE943C01027,Iron & Steel Products,Equity
513683,,NLCINDIA,NLC India Ltd,Active,A ,10.0,INE589A01014,Electric Utilities,Equity
513691,,JMTAUTOLTD,JMT AUTO LTD.,Active,B ,1.0,INE988E01036,Auto Parts & Equipment,Equity
513729,,AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$,Active,B ,10.0,INE210C01013,Construction Materials,Equity
514034,,JBFIND,JBF INDUSTRIES LTD.,Active,B ,10.0,INE187A01017,Fibres & Plastics,Equity
514043,,HIMATSEIDE,HIMATSINGKA SEIDE LTD.,Active,A ,5.0,INE049A01027,Textiles,Equity
514045,,BSL,BSL LTD.,Active,B ,10.0,INE594B01012,Textiles,Equity
514142,,TTL,T T LTD.-$,Active,B ,10.0,INE592B01016,Textiles,Equity
514162,,WELSPUNIND,WELSPUN INDIA LTD.,Active,A ,1.0,INE192B01031,Textiles,Equity
514167,,GANECOS,GANESHA ECOSPHERE LTD.,Active,B ,10.0,INE845D01014,Misc.Commercial Services,Equity
514175,,VARDMNPOLY,VARDHMAN POLYTEX LTD.,Active,B ,10.0,INE835A01011,Textiles,Equity
514211,,SUMEETINDS,SUMEET INDUSTRIES LTD.-$,Active,B ,10.0,INE235C01010,Textiles,Equity
514234,,SANGAMIND,SANGAM (INDIA) LTD.,Active,B ,10.0,INE495C01010,Textiles,Equity
514274,,AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.,Active,B ,10.0,INE273D01019,Textiles,Equity
514286,,ASHIMASYN,ASHIMA LTD.,Active,T ,10.0,INE440A01010,Textiles,Equity
514300,,PIONEEREMB,PIONEER EMBROIDERIES LTD.-$,Active,B ,10.0,INE156C01018,Textiles,Equity
514326,,PATSPINLTD,PATSPIN INDIA LTD.,Active,B ,10.0,INE790C01014,Textiles,Equity
514354,,PREMIERPOL,PREMIER POLYFILM LTD.,Active,B ,5.0,INE309M01012,Commodity Chemicals,Equity
515030,,ASAHIINDIA,ASAHI INDIA GLASS LTD.,Active,B ,1.0,INE439A01020,Auto Parts & Equipment,Equity
515037,,MURUDCERA,MURUDESHWAR CERAMICS LTD.,Active,B ,10.0,INE692B01014,Furniture-Furnishing-Paints,Equity
515055,,ANANTRAJ,Anant Raj Limited-$,Active,B ,2.0,INE242C01024,Realty,Equity
515093,,MADHAV,MADHAV MARBLES & GRANITES LTD.,Active,B ,10.0,INE925C01016,Construction Materials,Equity
515145,,HINDNATGLS,HINDUSTHAN NATIONAL GLASS & INDUSTRIES LTD.-$,Active,B ,2.0,INE952A01022,Containers & Packaging,Equity
516007,,MANGTIMBER,MANGALAM TIMBER PRODUCTS LTD.,Active,B ,10.0,INE805B01012,Forest Products,Equity
516016,,SHREYANIND,SHREYANS INDUSTRIES LTD.-$,Active,B ,10.0,INE231C01019,Paper & Paper Products,Equity
516022,,STARPAPER,STAR PAPER MILLS LTD.,Active,B ,10.0,INE733A01018,Paper & Paper Products,Equity
516064,,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Plastic Products,Equity
516072,,VISHNU,VISHNU CHEMICALS LTD.,Active,T ,10.0,INE270I01014,Specialty Chemicals,Equity
516082,,NRAGRINDQ,N.R.AGARWAL INDUSTRIES LTD.,Active,B ,10.0,INE740D01017,Paper & Paper Products,Equity
516092,,3PLAND,3P Land Holdings Ltd,Active,B ,2.0,INE105C01023,Paper & Paper Products,Equity
517015,,VINDHYATEL,VINDHYA TELELINKS LTD.,Active,B ,10.0,INE707A01012,Telecom Cables,Equity
517041,,ADORWELD,ADOR WELDING LTD.,Active,B ,10.0,INE045A01017,Other Industrial Goods,Equity
517059,,SALZER,SALZER ELECTRONICS LTD.-$,Active,B ,10.0,INE457F01013,Other Elect.Equip./ Prod.,Equity
517146,,USHAMART,USHA MARTIN LTD.,Active,B ,1.0,INE228A01035,Iron & Steel Products,Equity
517168,,SUBROS,SUBROS LTD.,Active,B ,2.0,INE287B01021,Auto Parts & Equipment,Equity
517174,,HONAUT,HONEYWELL AUTOMATION INDIA LTD.,Active,A ,10.0,INE671A01010,Other Elect.Equip./ Prod.,Equity
517206,,LUMAXIND,LUMAX INDUSTRIES LTD.,Active,B ,10.0,INE162B01018,Auto Parts & Equipment,Equity
517214,,DIGISPICE,Digispice Technologies Ltd-$,Active,B ,3.0,INE927C01020,Telecom Equipment,Equity
517224,,SUJANAUNI,SUJANA UNIVERSAL INDUSTRIES LTD.-$,Active,T ,10.0,INE216G01011,Other Industrial Products,Equity
517230,,PAEL,PAE LTD.,Active,B ,10.0,INE766A01018,Comm.Trading  & Distribution,Equity
517271,,HBLPOWER,HBL POWER SYSTEMS LTD.-$,Active,B ,1.0,INE292B01021,Other Elect.Equip./ Prod.,Equity
517273,,S&SPOWER,S&S POWER SWITCHGEAR LTD.,Active,B ,10.0,INE902B01017,Other Elect.Equip./ Prod.,Equity
517300,,GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.,Active,B ,10.0,INE162A01010,Electric Utilities,Equity
517330,,CMI,CMI LTD.,Active,B ,10.0,INE981B01011,Other Elect.Equip./ Prod.,Equity
517334,,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,Active,A ,1.0,INE775A01035,Auto Parts & Equipment,Equity
517344,,MINDTECK,MINDTECK (INDIA) LTD.,Active,T ,10.0,INE110B01017,IT Software Products,Equity
517354,,HAVELLS,HAVELLS INDIA LTD.,Active,A ,1.0,INE176B01034,Other Elect.Equip./ Prod.,Equity
517380,,IGARASHI,IGARASHI MOTORS INDIA LTD.,Active,B ,10.0,INE188B01013,Auto Parts & Equipment,Equity
517385,,SYMPHONY,Symphony Limited,Active,A ,2.0,INE225D01027,Consumer Electronics,Equity
517411,,SHYAMTEL,SHYAM TELECOM LTD.,Active,B ,10.0,INE635A01023,Telecom Equipment,Equity
517421,,BUTTERFLY,Butterfly Gandhimathi Appliances Ltd,Active,T ,10.0,INE295F01017,Household Appliances,Equity
517447,,RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,Active,B ,5.0,INE165B01029,IT Software Products,Equity
517498,,WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD.,Active,B ,10.0,INE855C01015,Other Elect.Equip./ Prod.,Equity
517506,,TTKPRESTIG,TTK PRESTIGE LTD.,Active,A ,10.0,INE690A01010,Houseware,Equity
517522,,RAJGLOWIR,RAJRATAN GLOBAL WIRE LTD.,Active,B ,10.0,INE451D01011,Auto Parts & Equipment,Equity
517530,,SURANAT&P,Surana Telecom And Power Limited,Active,B ,1.0,INE130B01031,Telecom Cables,Equity
517536,,ONWARDTEC,ONWARD TECHNOLOGIES LTD.,Active,B ,10.0,INE229A01017,IT Consulting & Software,Equity
517544,,CENTUM,CENTUM ELECTRONICS LTD.,Active,B ,10.0,INE320B01020,Misc.Commercial Services,Equity
517562,,TRIGYN,TRIGYN TECHNOLOGIES LTD.,Active,B ,10.0,INE948A01012,IT Consulting & Software,Equity
517569,,KEI,KEI INDUSTRIES LTD.,Active,A ,2.0,INE878B01027,Other Elect.Equip./ Prod.,Equity
517571,,INDLMETER,IMP POWERS LTD.,Active,B ,10.0,INE065B01013,Heavy Electrical Equipment,Equity
518029,,GSCLCEMENT,GUJARAT SIDHEE CEMENT LTD.,Active,B ,10.0,INE542A01039,Cement & Cement Products,Equity
518091,,APCL,ANJANI PORTLAND CEMENT LTD.-$,Active,B ,10.0,INE071F01012,Cement & Cement Products,Equity
519091,,TASTYBIT,TASTY BITE EATABLES LTD.,Active,B ,10.0,INE488B01017,Packaged Foods,Equity
519105,,AVTNPL,AVT NATURAL PRODUCTS LTD.,Active,B ,1.0,INE488D01021,Other Agricultural Products,Equity
519126,,HNDFDS,HINDUSTAN FOODS LTD.,Active,B ,10.0,INE254N01018,Packaged Foods,Equity
519136,,NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LTD.-$,Active,B ,10.0,INE289A01011,Textiles,Equity
519156,,VADILALIND,VADILAL INDUSTRIES LTD.-$,Active,B ,10.0,INE694D01016,Packaged Foods,Equity
519183,,ADFFOODS,ADF FOODS LTD.-$,Active,B ,10.0,INE982B01019,Packaged Foods,Equity
519224,,WILLAMAGOR,WILLIAMSON MAGOR & COMPANY LTD.,Active,B ,10.0,INE210A01017,Comm.Trading  & Distribution,Equity
519260,,SANWARIA,Sanwaria Consumer Ltd-$,Active,Z ,1.0,INE890C01046,Packaged Foods,Equity
519307,,VIKASWSP,VIKAS WSP LTD.,Active,B ,1.0,INE706A01022,Specialty Chemicals,Equity
519383,,ANIKINDS,ANIK INDUSTRIES LTD.,Active,B ,10.0,INE087B01017,Other Agricultural Products,Equity
519494,,NKIND,N.K.INDUSTRIES LTD.,Active,B ,10.0,INE542C01019,Edible Oils,Equity
519552,,HERITGFOOD,Heritage Foods Limited,Active,A ,5.0,INE978A01027,Packaged Foods,Equity
519588,,DFM,DFM FOODS LTD.,Active,B ,2.0,INE456C01020,Packaged Foods,Equity
519600,,CCL,CCL PRODUCTS (INDIA) LTD.,Active,A ,2.0,INE421D01022,Tea & Coffee,Equity
519602,,KELLTONTEC,Kellton Tech Solutions Ltd.,Active,B ,5.0,INE164B01022,IT Software Products,Equity
520008,,RICOAUTO,RICO AUTO INDUSTRIES LTD.,Active,B ,1.0,INE209B01025,Auto Parts & Equipment,Equity
520021,,OMAXAUTO,OMAX AUTOS LTD.,Active,B ,10.0,INE090B01011,Auto Parts & Equipment,Equity
520043,,MUNJALSHOW,MUNJAL SHOWA LTD.,Active,B ,2.0,INE577A01027,Auto Parts & Equipment,Equity
520051,,JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,Active,A ,1.0,INE039C01032,Auto Parts & Equipment,Equity
520056,,SUNCLAYLTD,SUNDARAM-CLAYTON LTD.,Active,B ,5.0,INE105A01035,Auto Parts & Equipment,Equity
520057,,JTEKTINDIA,Jtekt India Ltd,Active,B ,1.0,INE643A01035,Auto Parts & Equipment,Equity
520059,,MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.,Active,B ,2.0,INE672B01032,Auto Parts & Equipment,Equity
520066,,JAYBARMARU,JAY BHARAT MARUTI LTD.,Active,B ,5.0,INE571B01028,Auto Parts & Equipment,Equity
520086,,SICAL,SICAL LOGISTICS LTD.,Active,B ,10.0,INE075B01012,Transportation - Logistics,Equity
520111,,RATNAMANI,RATNAMANI METALS & TUBES LTD.-$,Active,A ,2.0,INE703B01027,Construction & Engineering,Equity
520113,,VESUVIUS,VESUVIUS INDIA LTD.,Active,B ,10.0,INE386A01015,Other Industrial Goods,Equity
520119,,ASAL,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,Active,B ,10.0,INE900C01027,Auto Parts & Equipment,Equity
520151,,SHREYAS,SHREYAS SHIPPING & LOGISTICS LTD.,Active,T ,10.0,INE757B01015,Shipping,Equity
521014,,EUROTEXIND,EUROTEX INDUSTRIES & EXPORTS LTD.,Active,B ,10.0,INE022C01012,Textiles,Equity
